atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"using input pcap file"
atf_snf.info sll2:Y
atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp  comment:"using experiment directory extracted from pcap file name"
atf_snf.info tcp_pair_dir:/home/avorovich/arnd/temp/x2tmp/tcp_pairs
atf_snf.info  fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"PcapFileProcess start"
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592597
In_Seqmsg latency  seq_x2traf:81  "x2write->snf_read":488871:59:37.592597  "snf_write->snf_read":00:00:00.000173
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592609
In_Seqmsg latency  seq_x2traf:82  "x2write->snf_read":488871:59:37.592609  "snf_write->snf_read":00:00:00.000185
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592627
In_Seqmsg latency  seq_x2traf:83  "x2write->snf_read":488871:59:37.592627  "snf_write->snf_read":00:00:00.000203
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.592424  "ts_snf_read ":2025-10-08T11:59:37.592639
In_Seqmsg latency  seq_x2traf:84  "x2write->snf_read":488871:59:37.592639  "snf_write->snf_read":00:00:00.000215
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.60619  "ts_snf_read ":2025-10-08T11:59:37.606252
In_Seqmsg latency  seq_x2traf:85  "x2write->snf_read":488871:59:37.606252  "snf_write->snf_read":00:00:00.000062
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.60619  "ts_snf_read ":2025-10-08T11:59:37.606268
In_Seqmsg latency  seq_x2traf:86  "x2write->snf_read":488871:59:37.606268  "snf_write->snf_read":00:00:00.000078
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.60619  "ts_snf_read ":2025-10-08T11:59:37.606285
In_Seqmsg latency  seq_x2traf:87  "x2write->snf_read":488871:59:37.606285  "snf_write->snf_read":00:00:00.000095
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.60619  "ts_snf_read ":2025-10-08T11:59:37.606297
